Month,Price
2014-01,43.7
2014-02,42.32
2014-03,43.61
2014-04,43.38
2014-05,42.39
2014-06,40.88
2014-07,40.79
2014-08,41.62
2014-09,42.12
2014-10,42.1
2014-11,42.25
2014-12,41.93
2015-01,44.97
2015-02,45.81
2015-03,47.67
2015-04,50.89
2015-05,60.01
2015-06,60.9
2015-07,60.31
2015-08,61.19
2015-09,63.67
2015-10,67.12
2015-11,67.58
2015-12,67.67
2016-01,65.12
2016-02,62.78
2016-03,63.12
2016-04,68.55
2016-05,74.91
2016-06,81.71
2016-07,93.35
2016-08,97.13
2016-09,100.22
2016-10,111.15
2016-11,121.35
2016-12,120.46
2017-01,108.16
2017-02,90.15
2017-03,81.43
2017-04,84.05
2017-05,82.1
2017-06,81.25
2017-07,78.45
2017-08,78.9
2017-09,81.45
2017-10,77.58
2017-11,73.91
2017-12,71.25
2018-01,68.25
2018-02,64.7
2018-03,64.84
2018-04,64.02
2018-05,62.43
2018-06,61.55
2018-07,62.82
2018-08,64.62
2018-09,64.32
2018-10,63.31
2018-11,64.23
2018-12,65.65
2019-01,65.73
2019-02,65.08
2019-03,63
2019-04,63.88
2019-05,64.44
2019-06,65.17
2019-07,63.94
2019-08,64.41
2019-09,64.53
2019-10,64.13
2019-11,64.75
2019-12,64.74
2020-01,64.55
2020-02,63.58
2020-03,63.83
2020-04,69.83
2020-05,68.13
2020-06,65.08
2020-07,65.37
2020-08,65.81
2020-09,68.22
2020-10,71.54
2020-11,72.55
2020-12,71.12
2021-01,69.14
2021-02,67.69
2021-03,68.79
2021-04,71.46
2021-05,74.9
2021-06,73.57
2021-07,71.42
2021-08,71.15
2021-09,73.21
2021-10,73.54
2021-11,72.57
2021-12,71.48
2022-01,70.93
2022-02,70.9
2022-03,71.45
2022-04,71.06
2022-05,71.06
2022-06,70.34
2022-07,70.32
2022-08,69.97
2022-09,69.52
2022-10,68.71
2022-11,68.77
2022-12,69.02
2023-01,68.77
2023-02,68.68
2023-03,69.16
2023-04,70.85
2023-05,70.51
2023-06,70.83
2023-07,70.83
2023-08,72.68
2023-09,77.53
2023-10,79.23
2023-11,79.76
2023-12,79.68
2024-01,78.5
2024-02,78.48
2024-03,79.31
2024-04,79.67
2024-05,80.56
2024-06,82.84
2024-07,84.23
2024-08,86.07
,73.23
