Month,Price
2014-01,34.98
2014-02,33.62
2014-03,34.18
2014-04,34.93
2014-05,36.53
2014-06,38.71
2014-07,38.95
2014-08,39.34
2014-09,39.22
2014-10,38.5
2014-11,37.44
2014-12,34.35
2015-01,33.53
2015-02,33.48
2015-03,33.13
2015-04,33.6
2015-05,36.08
2015-06,37.19
2015-07,37.56
2015-08,37.11
2015-09,36.61
2015-10,37.39
2015-11,36.89
2015-12,36.12
2016-01,36.52
2016-02,35.61
2016-03,35.79
2016-04,38.16
2016-05,39.42
2016-06,41
2016-07,42.58
2016-08,43.92
2016-09,44.67
2016-10,44.31
2016-11,43.29
2016-12,42.34
2017-01,41.75
2017-02,41.97
2017-03,42.6
2017-04,43.45
2017-05,43.85
2017-06,44.07
2017-07,43.61
2017-08,42.88
2017-09,42.93
2017-10,43
2017-11,42.35
2017-12,41.73
2018-01,41.14
2018-02,40.14
2018-03,39.57
2018-04,38.4
2018-05,38.59
2018-06,39.46
2018-07,40.43
2018-08,41.6
2018-09,41.87
2018-10,41.72
2018-11,40.71
2018-12,39.34
2019-01,39.46
2019-02,39.12
2019-03,38.61
2019-04,39.37
2019-05,41.7
2019-06,43.45
2019-07,43.36
2019-08,43.4
2019-09,43.54
2019-10,43.74
2019-11,44.27
2019-12,42.9
2020-01,42.73
2020-02,42.65
2020-03,42.59
2020-04,43.43
2020-05,44.12
2020-06,44.08
2020-07,45.21
2020-08,46.36
2020-09,47.88
2020-10,47.33
2020-11,44.84
2020-12,44.81
2021-01,44.05
2021-02,42.36
2021-03,41.07
2021-04,41.07
2021-05,42.5
2021-06,42.98
2021-07,43.22
2021-08,43.17
2021-09,43.98
2021-10,44.77
2021-11,46.06
2021-12,45.5
2022-01,44.87
2022-02,44.95
2022-03,44.74
2022-04,45.03
2022-05,45.67
2022-06,45.72
2022-07,46.37
2022-08,47.14
2022-09,47.95
2022-10,47.84
2022-11,47.48
2022-12,45.97
2023-01,44.76
2023-02,44.51
2023-03,44.72
2023-04,45.76
2023-05,46.6
2023-06,47.4
2023-07,48.22
2023-08,48.97
2023-09,49.68
2023-10,49.91
2023-11,49.7
2023-12,49.16
2024-01,48.7
2024-02,48.48
2024-03,48.36
2024-04,48.36
2024-05,49.06
2024-06,49.68
2024-07,50.52
2024-08,50.91
,45.72
